avg rate of infection,population,avgTemp,avgPrecip,percentage of smokers,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr
13.94736842,974996,69.9,54.5,16%,1.1,0.7,28,8,0.08,0.067,17,7.7,58,18
6.888888889,328297,69.9,54.5,18%,1.633,1.2,.,.,0.07,0.059,.,.,.,.
2.744186047,184313,69.9,54.5,19%,1.633,1.2,.,.,0.08,0.065,.,.,.,.
7.222222222,433742,69.9,54.5,15%,1.633,1.2,.,.,0.07,0.065,15,6.8,54,17
6.219512195,553284,69.9,54.5,18%,1.633,1.2,.,.,0.07,0.056,16,7.5,50,17
6.172413793,153159,63.1,50.7,19%,.,,.,.,0.08,0.066,18,9.1,.,.
24.73170732,760141,63.1,50.7,13%,.,.,.,.,0.08,0.067,18,8.6,.,.
41.15151515,87956,63.1,50.7,22%,.,.,.,.,.,.,27,10.7,.,.
22.36585366,936250,63.1,50.7,14%,.,.,.,.,0.08,0.068,24,10.8,.,.
7.142857143,195769,63.1,50.7,20%,.,.,.,.,0.07,0.063,20,9.1,.,.
3.827586207,90896,63.1,50.7,18%,.,.,.,.,0.09,0.072,.,.,.,.
8.880952381,974563,68.6,63.7,11%,1.3,0.8,28,4,0.09,0.053,8,3.9,32,13
2.878787879,167417,68.6,63.7,12%,1.3,0.8,.,.,.,.,17,4.1,.,.
15.65714286,481587,43.6,18.9,12%,2,1.3,.,.,0.07,0.057,17,5.3,62,19
6.392857143,229849,43.6,18.9,14%,2,1.3,.,.,.,.,25,6.9,.,.
215.3214286,5150233,51.6,39.2,14%,2.7,1.5,56,17,0.09,0.071,26,10.8,28,14
43.02941176,922921,51.6,39.2,12%,2.7,1.5,.,.,0.09,0.07,.,.,.,.
5.923076923,141879,51.6,39.2,17%,2.7,1.5,.,.,0.08,0.066,20,8.6,.,.
1.588235294,194672,51.6,39.2,17%,2.7,1.5,.,.,0.07,0.062,18,8.2,.,.
46.6875,690743,51.6,39.2,13%,2.7,1.5,.,.,0.07,0.06,21,9.7,.,.
3.625,83779,51.1,41.7,19%,1.4,1.1,.,.,0.07,0.062,16,6.9,.,.
4.555555556,206341,51.1,41.7,20%,1.4,1.1,.,.,0.07,0.058,.,.,.,.
9.45,170311,51.1,41.7,16%,1.4,1.1,.,.,0.07,0.059,.,.,.,.
3.294117647,109888,51.1,41.7,23%,1.4,1.1,.,.,0.09,0.071,24,7.9,.,.
1.75862069,195732,51.1,41.7,19%,1.4,1.1,.,.,.,.,18,8.8,.,.
2.535714286,181451,51.1,41.7,21%,1.4,1.1,32,8,0.08,0.064,21,8.7,27,14
3.516129032,131228,48.2,34,18%,.,.,.,.,.,.,20,7.7,.,.
5.103448276,42664,48.2,34,15%,.,.,.,.,.,.,23,8.1,36,16
3.8,81758,53.6,28.9,18%,1.5,1.1,.,.,0.08,0.061,.,.,.,.
7.482758621,516042,53.6,28.9,17%,1.5,1.1,.,6,0.08,0.062,.,.,51,16
10.52777778,165429,53.6,28.9,21%,1.5,1.1,.,8,0.06,0.058,.,.,.,.
3.032258065,122302,39.1,42.2,16%,.,.,27,3,0.07,0.054,.,.,.,.
25.6,579234,52.8,44.5,14%,1.9,1.55,.,.,0.09,0.076,.,.,27,12
40.97297297,827370,52.8,44.5,13%,2.7,2,41,14,0.1,0.074,31,8.3,.,.
3.551724138,92525,52.8,44.5,14%,1.9,1.55,.,.,0.07,0.058,.,.,.,.
3.884615385,102855,52.8,44.5,17%,1.9,1.55,.,.,0.09,0.068,18,6.4,.,.
9.342857143,163257,52.8,44.5,14%,1.9,1.55,.,.,0.07,0.061,.,.,.,.
4.025,255441,52.8,44.5,15%,1.9,1.55,.,.,0.1,0.077,19,7,.,.
69.79487179,909327,52.8,44.5,12%,1.1,0.9,.,5,0.09,0.075,32,7.2,20,10
16.17647059,212990,45.7,47.7,12%,,1.05,.,.,0.08,0.06,.,.,.,.
9.317073171,124944,45.7,47.7,14%,1.5,1.05,.,.,0.08,0.06,17,7.1,.,.
60.15151515,466372,45.7,47.7,15%,1.5,1.2,44,10,0.09,0.066,17,7.7,.,.
72.65217391,706775,45.7,47.7,12%,1.5,1.05,25,3,0.08,0.059,.,.,.,.
74.72727273,521202,45.7,47.7,15%,1.5,1.05,.,.,0.07,0.061,14,6.8,.,.
62.575,830622,45.7,47.7,14%,1.5,0.9,48,10,0.07,0.06,17,8.2,37,13
1.914285714,103126,42.6,32.8,18%,.,.,.,.,.,.,18,6.8,.,.
4.925925926,153401,42.6,32.8,17%,.,.,.,.,0.08,0.066,.,.,.,.
7.722222222,292406,42.6,32.8,18%,.,.,44,7,0.06,0.055,.,.,.,.
4.72,265066,42.6,32.8,18%,.,.,.,.,0.07,0.061,18,6.8,.,.
114.0571429,873972,42.6,32.8,19%,.,.,.,.,0.08,0.063,19,7.3,.,.
4.4,173566,42.6,32.8,20%,.,.,.,.,0.08,0.068,.,.,.,.
152.0526316,1257584,42.6,32.8,12%,.,.,.,.,0.09,0.066,18,7.7,.,.
1.851851852,52245,42.6,32.8,18%,.,.,.,.,0.07,0.059,.,.,.,.
22.94444444,367601,42.6,32.8,12%,.,.,.,.,0.08,0.06,23,8.3,.,.
2.078947368,356921,41.9,27.3,15%,0.9,0.6,41,7,0.07,0.062,22,6.8,32,12
19.61111111,1265843,41.9,27.3,12%,5.5,1.4,.,.,0.07,0.054,23,8,83,22
4.405405405,158293,41.9,27.3,12%,3.2,1,.,.,0.06,0.054,20,7.6,.,.
2.466666667,30628,63.2,59,25%,1.6,1.1,.,.,0.07,0.062,21,9,.,.
7.033333333,184945,63.2,59,15%,1.6,1.1,.,.,0.08,0.066,17,8.2,.,.
3.621621622,74897,63.2,59,19%,1.6,1.1,.,.,.,.,19,8.8,.,.
9.121212121,231840,63.2,59,19%,1.6,1.1,37,7,0.07,0.064,23,9.8,60,19
4.028571429,114434,42.5,15.3,14%,0.9,0.4,.,.,.,.,5,0.9,.,.
1.914285714,161300,42.5,15.3,16%,0.9,.,.,.,.,.,.,.,.,.
13.30232558,471519,48,9.5,15%,2,1.5,46,11,0.08,0.066,16,6,77,20
10.27659574,417025,42.4,43.4,14%,0.2,0.3,.,.,0.07,0.057,11,3.3,.,.
2.833333333,151391,42.4,43.4,14%,0.2,0.3,.,.,0.07,0.055,.,.,.,.
11.46666667,263670,50.6,47.1,16%,1.7,1.1,.,.,0.08,0.059,17,7,.,.
259.2954545,932202,50.6,47.1,11%,1.3,0.9,66,17,0.09,0.071,23,11,.,.
41.28571429,506471,50.6,47.1,16%,1.7,1.2,45,11,0.08,0.07,30,10.2,44,17
235,672391,50.6,47.1,15%,2.1,1.2,58,21,0.09,0.065,25,8.9,34,15
11.65625,124371,50.6,47.1,13%,1.7,1.1,.,.,0.08,0.066,19,7.8,.,.
110.2307692,618795,50.6,47.1,13%,1.7,1.1,.,.,0.08,0.067,.,.,.,.
122.0571429,607186,50.6,47.1,14%,1.7,1.1,.,.,0.08,0.068,16,6.2,.,.
182.925,501826,50.6,47.1,14%,1.7,1.1,.,.,0.08,0.064,20,7.7,.,.
13.27027027,679121,52.4,14.6,15%,2,1,44,9,0.08,0.069,20,7.7,141,36
2.071428571,218195,52.4,14.6,16%,2,1,46,7,0.09,0.077,21,8,488,40
8.617647059,146748,52.4,14.6,16%,2,1,.,.,0.08,0.065,.,.,.,.
2.135135135,150358,52.4,14.6,14%,2,1,.,.,0.08,0.066,7,2.9,.,.
57.91666667,294218,43.6,41.8,15%,0.3,0.3,.,.,0.08,0.061,.,.,.,.
645.8604651,1356924,43.6,41.8,11%,0.3,0.3,.,.,.,.,.,.,.,.
7.714285714,209281,43.6,41.8,16%,0.3,0.3,.,.,0.07,0.059,.,.,.,.
14.4375,460528,43.6,41.8,14%,0.3,0.3,.,.,0.07,0.058,15,6.4,.,.
208.3809524,325789,43.6,41.8,15%,0.3,0.3,.,.,0.09,0.066,.,.,.,.
3.576923077,107740,43.6,41.8,15%,0.3,0.3,.,.,.,.,.,.,.,.
5.634146341,229863,43.6,41.8,14%,0.3,0.3,.,.,0.06,0.054,.,.,.,.
5.703703704,95379,43.6,41.8,13%,0.3,0.3,.,.,0.06,0.054,14,6.1,.,.
318.1842105,1476601,43.6,41.8,14%,0.3,0.3,.,.,0.11,0.073,17,6.4,.,.
3.411764706,102180,43.6,41.8,16%,0.3,0.3,.,.,0.06,0.056,.,.,.,.
496.0909091,967506,43.6,41.8,20%,0.3,0.3,.,.,0.09,0.069,.,.,.,.
10.9375,321488,58.2,50.3,15%,1.5,1.2,.,.,0.07,0.061,15,7.9,27,12
3.388888889,382295,58.2,50.3,18%,1.5,1.2,34,7,0.08,0.065,24,9.5,33,14
4,60443,58.2,50.3,17%,1.5,1.2,.,.,0.08,0.062,.,.,.,.
5.133333333,537174,58.2,50.3,16%,1.5,1.2,.,.,0.07,0.064,15,6.8,33,15
1.933333333,234473,58.2,50.3,16%,1.5,1.2,.,.,0.07,0.059,.,.,.,.
2.857142857,180742,58.2,50.3,17%,1.5,1.2,.,.,0.07,0.061,.,.,.,.
7.642857143,142088,58.2,50.3,17%,1.5,1.2,.,.,0.08,0.066,.,.,.,.
12.26666667,1111761,58.2,50.3,12%,1.5,1.2,34,9,0.08,0.064,15,7.9,30,15
1.741935484,95626,41.1,17.8,16%,1,0.5,40,5,0.07,0.059,18,6.4,47,15
2.035714286,102351,49.7,39.1,20%,2.433333333,1.3,.,.,0.08,0.064,22,8.1,.,.
1.735294118,67006,49.7,39.1,17%,1.9,0.9,31,7,.,.,.,.,35,16
